id,ISBN,PrijsNieuw
1,"9789462511699","57.34"
1,"9789490962876","65.60"
1,"9789462510500","20.64"
1,"9789462510616","25.69"
1,"9789462510609","16.06"
1,"9789462510449","21.10"
1,"9789462510777","18.81"
1,"9789462510678","27.52"
1,"9789462510661","61.01"
1,"9789462510401","57.34"
1,"9789462510692","32.11"
1,"9789462510685","27.06"
1,"9789462510739","79.82"
1,"9789462510746","79.82"
1,"9789462510760","23.39"
1,"9789462510807","32.57"
1,"9789462510852","65.14"
1,"9789462510876","21.56"
1,"9789462510869","63.76"
1,"9789462510937","43.58"
1,"9789462510913","43.58"
1,"9789462510784","87.16"
1,"9789462510920","53.67"
1,"9789462510968","35.78"
1,"9789462510890","76.61"
1,"9789462510883","65.60"
1,"9789462510982","16.51"
1,"9789462510845","21.10"
1,"9789462510906","16.06"
1,"9789462510999","95.41"
1,"9789462510975","17.89"
1,"9789462511019","20.64"
1,"9789462510951","93.12"
1,"9789462511057","20.64"
1,"9789462511033","78.90"
1,"9789462511040","69.27"
1,"9789462511064","20.64"
1,"9789462511101","29.36"
1,"9789462511071","29.36"
1,"9789462511088","21.10"
1,"9789462511132","94.95"
1,"9789462511125","69.27"
1,"9789462511170","69.27"
1,"9789462511156","33.49"
1,"9789462511194","84.86"
1,"9789462511217","39.91"
1,"9789462511200","20.64"
1,"9789462511224","38.53"
1,"9789462511163","73.85"
1,"9789462511187","23.39"
1,"9789462511187","23.39"
1,"9789462511231","129.61"
1,"9789462511248","30.73"
1,"9789462511279","118.35"
1,"9789462511255","25.69"
1,"9789462511316","30.73"
1,"9789462511309","82.57"
1,"9789462511330","41.28"
1,"9789462511323","54.13"
1,"9789462511385","20.18"
1,"9789462511378","82.57"
1,"9789462511392","50.92"
1,"9789462511408","22.02"
1,"9789462511446","22.94"
1,"9789462511439","46.33"
1,"9789462511422","50.92"
1,"9789462511453","22.94"
1,"9789462511484","40.83"
1,"9789462511477","25.69"
1,"9789462511460","30.73"
1,"9789462511415","56.42"
1,"9789462511521","67.43"
1,"9789462511538","38.53"
1,"9789462511507","49.08"
1,"9789462511545","46.33"
1,"9789462511514","64.68"
1,"9789462511552","71.56"
1,"9789462511569","22.94"
1,"9789462511491","61.01"
1,"9789462511576","49.08"
1,"9789462511590","34.40"
1,"9789462511583","30.28"
1,"9789462511637","28.44"
1,"9789462511620","25.23"
1,"9789462511675","39.91"
1,"9789462511668","61.01"
1,"9789462511651","70.64"
1,"9789462511705","70.64"
1,"9789462511743","19.72"
1,"9789462511750","45.87"
1,"9789462511644","39.91"
1,"9789462511736","70.64"
1,"9789462511767","33.03"
1,"9789462511811","23.39"
1,"9789462511781","35.32"
1,"9789462511774","65.14"
1,"9789462511729","50.46"
1,"9789462511828","22.48"
1,"9789462511866","34.86"
1,"9789462511903","15.60"
1,"9789462511859","18.35"
1,"9789462511873","30.28"
1,"9789462511897","66.51"
1,"9789462511880","70.64"
1,"9789462511910","34.86"
1,"9789462511941","66.97"
1,"9789462511934","78.90"
1,"9789462511927","37.16"
1,"9789462511958","59.63"
1,"9789462511972","23.39"
1,"9789462511965","33.03"
1,"9789462511996","81.19"
1,"9789462512009","76.61"
1,"9789462512016","28.44"
1,"9789462512023","15.14"
1,"9789462512047","18.81"
1,"9789462512061","62.39"
1,"9789462512078","26.61"
1,"9789462512054","47.71"
1,"9789462512030","57.34"
1,"9789462512092","37.16"
1,"9789462512115","18.81"
1,"9789462512122","18.81"
1,"9789462512085","18.81"
1,"9789462512139","65.14"
1,"9789462512153","46.33"
1,"9789462512108","84.40"
1,"9789462512146","46.33"
1,"9789462512252","30.28"
1,"9789462512283","22.94"
1,"9789462512306","37.16"
1,"9789462512313","46.33"
1,"9789462512245","74.31"
1,"9789462512290","23.85"
1,"9789462512276","22.94"
1,"9789462512160","84.40"
1,"9789462512320","37.16"
1,"9789462512375","20.18"
1,"9789462512399","39.91"
1,"9789462512368","66.97"
1,"9789462512467","46.33"
1,"9789462512412","77.06"
